STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,ind_type,Individual type,unit,Unit of measure,geo,Geopolitical entity (reporting),year,Time,value,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU27_2020,European Union - 27 countries (from 2020),2015,,26.69,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU27_2020,European Union - 27 countries (from 2020),2016,,27.32,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU27_2020,European Union - 27 countries (from 2020),2017,,29.04,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU27_2020,European Union - 27 countries (from 2020),2019,,31.05,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU28,European Union - 28 countries (2013-2020),2015,,28.23,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU28,European Union - 28 countries (2013-2020),2016,,29.30,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU28,European Union - 28 countries (2013-2020),2017,,31.19,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU28,European Union - 28 countries (2013-2020),2019,,33.31,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FI,Finland,2015,,40.94,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,FI,Finland,2016,,43.74,,,,,
